,Room,Slot,Total Capacity,Total Hours,Used Capacity,Used Hours,Exam 1,Exam 2,Exam 3
0,TRENT-HALL,23rd Jan Morning,125,3,72,3.0,LKB2GAE1,LKA1GAE1,
1,TRENT-HALL,23rd Jan Afternoon,125,2,105,3.0,R13006E1,B33548E1,
2,TRENT-HALL,23rd Jan Evening,125,2,112,4.0,R13016E1,B33549E1,
3,TRENT-HALL,24th Jan Morning,125,3,44,2.5,R13021E1,B33563E1,
4,TRENT-HALL,24th Jan Afternoon,125,2,38,3.5,R13022E1,G13AS5E1,
5,TRENT-HALL,24th Jan Evening,125,2,47,4.0,R23102E1,G13MM2E1,
6,TRENT-HALL,25th Jan Morning,125,3,51,3.5,R23107E1,G13ST6E1,
7,TRENT-HALL,25th Jan Afternoon,125,2,33,3.5,R23111E1,C8CXESE1,
8,TRENT-HALL,25th Jan Evening,125,2,32,3.5,R23117E1,B13103E1,
9,TRENT-HALL,26th Jan Morning,125,3,25,3.0,R23209E1,C13571E1,
10,TRENT-HALL,26th Jan Afternoon,125,2,29,4.5,Q4B102E1,C13572E1,
11,TRENT-HALL,26th Jan Evening,125,2,61,4.0,AA3008E1,F13I01E1,
12,TRENT-HALL,27th Jan Morning,125,3,44,4.0,V73232E1,F13I03E1,
13,TRENT-HALL,27th Jan Afternoon,125,2,44,2.5,V73MD1E1,F13O03E1,
14,TRENT-HALL,27th Jan Evening,125,2,70,4.0,Q3A308E1,F13P03E1,
15,TRENT-HALL,28th Jan Morning,125,3,51,3.5,V62200E1,G53RDBE1,
16,TRENT-HALL,30th Jan Morning,125,3,69,3.25,V73128E1,G5BGRAE1,
17,TRENT-HALL,30th Jan Afternoon,125,2,35,4.5,R13003E1,C13563E1,
18,TRENT-HALL,30th Jan Evening,125,2,66,4.5,R13012E1,C73507E1,
19,TRENT-HALL,31st Jan Morning,125,3,28,4.75,V73127E1,G53LCTE1,
20,TRENT-HALL,31st Jan Afternoon,125,2,40,4.0,Q83184E1,F13O01E1,
21,TRENT-HALL,31st Jan Evening,125,2,114,3.0,Q8B075E1,F11I01E1,
22,TRENT-HALL,1st Feb Morning,125,3,150,3.0,Q8B094E1,F11O01E1,
23,TRENT-HALL,1st Feb Afternoon,125,2,143,4.0,Q4B104E1,F11P02E1,
24,TRENT-HALL,1st Feb Evening,125,2,177,3.0,V13119E1,F311Q1E1,
25,TRENT-HALL,2nd Feb Morning,125,3,150,2.5,R13009E1,F311Z1E1,
26,TRENT-HALL,2nd Feb Afternoon,125,2,52,4.5,V72AINE1,C13565E1,
27,TRENT-HALL,2nd Feb Evening,125,2,94,4.0,R23104E1,C42306E1,
28,TRENT-HALL,3rd Feb Morning,125,3,57,3.5,V83123E1,C42307E1,
29,TRENT-HALL,3rd Feb Afternoon,125,2,29,2.5,V83138E1,F13X03E1,
30,TRENT-HALL,3rd Feb Evening,125,2,34,4.5,R13023E1,C13573E1,
31,TRENT-HALL,4th Feb Morning,125,3,53,4.75,R43204E1,C43511E1,
32,TRENT-L19,23rd Jan Morning,80,3,22,3.5,R4B107E1,F13P02E1,
33,TRENT-L19,23rd Jan Afternoon,80,2,32,4.0,R13011E1,F13X01E1,
34,TRENT-L19,23rd Jan Evening,80,2,56,3.5,R13005E1,J5CCCEE1,
35,TRENT-L19,24th Jan Morning,80,3,50,4.0,R43152E1,J5CMUSE1,
36,TRENT-L19,24th Jan Afternoon,80,2,46,5.0,Q83142E1,C13562E1,
37,TRENT-L19,24th Jan Evening,80,2,46,3.5,V6B336E1,F331N6E1,
38,TRENT-L19,25th Jan Morning,80,3,58,4.0,R83038E1,F331O6E1,
39,TRENT-L19,25th Jan Afternoon,80,2,47,4.0,R83043E1,F331S9E1,
40,TRENT-L19,25th Jan Evening,80,2,32,3.0,R83052E1,F331Z8E1,
41,TRENT-L19,26th Jan Morning,80,3,87,4.0,R83044E1,F3B1X4E1,
42,TRENT-L19,26th Jan Afternoon,80,2,54,4.0,R13015E1,G13CM2E1,
43,TRENT-L19,26th Jan Evening,80,2,55,3.5,V13105E1,G13LO1E1,
44,TRENT-L19,27th Jan Morning,80,3,37,4.0,V13111E1,C43512E1,
45,TRENT-L19,27th Jan Afternoon,80,2,139,3.0,LK10SAE1,F331N3E1,
46,TRENT-L19,27th Jan Evening,80,2,93,3.5,R23216E1,F331Q3E1,
47,TRENT-L19,28th Jan Morning,80,3,84,4.0,R43153E1,F331S2E1,
48,TRENT-L19,30th Jan Morning,80,3,76,3.5,R82028E1,F331Z4E1,
49,TRENT-L19,30th Jan Afternoon,80,2,23,5.0,R83036E1,G13AL4E1,
50,TRENT-L19,30th Jan Evening,80,2,25,3.5,R83046E1,G13PR2E1,
51,TRENT-L19,31st Jan Morning,80,3,59,3.5,R42103E1,G13SP2E1,
52,TRENT-L19,31st Jan Afternoon,80,2,51,3.5,R13014E1,F3B1B3E1,
53,TRENT-L19,31st Jan Evening,80,2,50,5.0,R13017E1,C13564E1,
54,TRENT-L19,1st Feb Morning,80,3,28,4.0,R83051E1,C13567E1,
55,TRENT-L19,1st Feb Afternoon,80,2,37,4.0,R13044E1,G13QT1E1,
56,TRENT-L19,1st Feb Evening,80,2,44,3.5,R23009E1,G13RE2E1,
57,TRENT-L19,2nd Feb Morning,80,3,21,3.5,R23105E1,F331X3E1,
58,TRENT-L19,2nd Feb Afternoon,80,2,23,3.5,R23106E1,G13ST3E1,
59,TRENT-L19,2nd Feb Evening,80,2,34,4.0,R13007E1,HG3J5BE1,
60,TRENT-L19,3rd Feb Morning,80,3,48,4.0,M12365E1,G13AN4E1,
61,TRENT-L19,3rd Feb Afternoon,80,2,19,2.5,M1B351E1,F13P05E1,
62,TRENT-L19,3rd Feb Evening,80,2,17,3.75,R43149E1,G5BSBBE1,
63,TRENT-L19,4th Feb Morning,80,3,18,4.5,V13163E1,HG3J5AE1,
64,TRENT-B46,23rd Jan Morning,40,3,14,4.0,V13173E1,G13CS2E1,
65,TRENT-B46,23rd Jan Afternoon,40,2,23,4.0,V13214E1,G13RE1E1,
66,TRENT-B46,23rd Jan Evening,40,2,54,3.5,V6B302E1,F321C6E1,
67,TRENT-B46,24th Jan Morning,40,3,110,3.5,V6B306E1,F321M1E1,
68,TRENT-B46,24th Jan Afternoon,40,2,113,3.5,V6B307E1,F321Q2E1,
69,TRENT-B46,24th Jan Evening,40,2,113,3.5,V6B308E1,F321T2E1,
70,TRENT-B46,25th Jan Morning,40,3,141,3.5,L3B049E1,F321Z3E1,
71,TRENT-B46,25th Jan Afternoon,40,2,75,4.0,Q33211E1,HG3S5EE1,
72,TRENT-B46,25th Jan Evening,40,2,59,4.0,Q33307E1,F331M9E1,
73,TRENT-B46,26th Jan Morning,40,3,52,5.0,Q33308E1,D23315E1,
74,TRENT-B46,26th Jan Afternoon,40,2,119,5.0,Q81001E1,C13569E1,
75,TRENT-B46,26th Jan Evening,40,2,14,4.0,V43117E1,D23360E1,
76,TRENT-B46,27th Jan Morning,40,3,33,3.0,V43124E1,F331X5E1,
77,TRENT-B46,27th Jan Afternoon,40,2,23,2.0,V43133E1,F13O06E1,
78,TRENT-B46,27th Jan Evening,40,2,65,4.0,V43239E1,C12332E1,
79,TRENT-B46,28th Jan Morning,40,3,20,3.0,V6B333E1,C12333E1,
80,TRENT-B46,30th Jan Morning,40,3,64,3.5,Q13013E1,C42304E1,
81,TRENT-B46,30th Jan Afternoon,40,2,6,3.5,Q13017E1,G13LA1E1,
82,TRENT-B46,30th Jan Evening,40,2,53,2.5,Q82028E1,F311V1E1,
83,TRENT-B46,31st Jan Morning,40,3,69,3.0,Q83144E1,C12324E1,
84,TRENT-B46,31st Jan Afternoon,40,2,73,3.5,M13369E1,C12328E1,
85,TRENT-B46,31st Jan Evening,40,2,89,3.75,M1B373E1,G51DSDE1,
86,TRENT-B46,1st Feb Morning,40,3,118,3.0,LK10IAE1,G51MC1E1,
87,TRENT-B46,1st Feb Afternoon,40,2,51,4.0,Q3A307E1,J5CCRME1,
88,TRENT-B46,1st Feb Evening,40,2,124,4.0,R13101E1,F12I02E1,
89,TRENT-B46,2nd Feb Morning,40,3,118,4.0,R43146E1,F12O02E1,
90,TRENT-B46,2nd Feb Afternoon,40,2,153,3.5,AAA024E1,F12P02E1,
91,TRENT-B46,2nd Feb Evening,40,2,54,3.5,Q8B063E1,C12331E1,
92,TRENT-B46,3rd Feb Morning,40,3,53,3.0,V13177E1,F311B1E1,
93,TRENT-B46,3rd Feb Afternoon,40,2,21,3.5,AAA011E1,D23336E1,
94,TRENT-B46,3rd Feb Evening,40,2,70,3.5,V13169E1,C12325E1,
95,TRENT-B46,4th Feb Morning,40,3,73,3.0,N1A104E1,C12329E1,
96,COPSE-2,23rd Jan Morning,40,3,75,5.0,H7CHCME1,C72303E1,
97,COPSE-2,23rd Jan Afternoon,40,2,166,3.5,V12131E1,C11101E1,
98,COPSE-2,23rd Jan Evening,40,2,26,5.5,AAB025E1,HG3S5FE1,
99,COPSE-2,24th Jan Morning,40,3,63,3.5,Q32302E1,F321Q6E1,
100,COPSE-2,24th Jan Afternoon,40,2,19,4.0,R43148E1,F321S6E1,
101,COPSE-2,24th Jan Evening,40,2,19,4.0,R4B209E1,F321T6E1,
102,COPSE-2,25th Jan Morning,40,3,121,2.0,R83054E1,B32321E1,
103,COPSE-2,25th Jan Afternoon,40,2,120,3.0,V43125E1,B32322E1,
104,COPSE-2,25th Jan Evening,40,2,127,3.0,V43143E1,B32325E1,
105,COPSE-2,26th Jan Morning,40,3,131,3.0,LKA1SAE1,B32326E1,
106,COPSE-2,26th Jan Afternoon,40,2,138,3.5,R22110E1,B32327E1,
107,COPSE-2,26th Jan Evening,40,2,2,2.0,R83056E1,F13I05E1,
108,COPSE-2,27th Jan Morning,40,3,12,3.0,LKA1IAE1,F13I06E1,
109,COPSE-2,27th Jan Afternoon,40,2,196,3.0,Q8B056E1,G12AL1E1,
110,COPSE-2,27th Jan Evening,40,2,131,4.0,V42112E1,G12AN1E1,
111,COPSE-2,28th Jan Morning,40,3,136,4.0,V42124E1,G12ME1E1,
112,COPSE-2,30th Jan Morning,40,3,83,3.0,V42133E1,G5P002E1,
113,COPSE-2,30th Jan Afternoon,40,2,66,3.0,V42143E1,G5P005E1,
114,COPSE-2,30th Jan Evening,40,2,17,4.0,Q8B096E1,B12301E1,
115,COPSE-2,31st Jan Morning,40,3,27,3.0,V12116E1,B12302E1,
116,COPSE-2,31st Jan Afternoon,40,2,71,4.0,AAA013E1,B12303E1,
117,COPSE-2,31st Jan Evening,40,2,38,4.0,L3B090E1,B12320E1,
118,COPSE-2,1st Feb Morning,40,3,135,4.0,L3B026E1,G12MM1E1,
119,COPSE-2,1st Feb Afternoon,40,2,82,3.0,V12127E1,F12X02E1,
120,COPSE-2,1st Feb Evening,40,2,28,2.0,V43103E1,F321E4E1,
121,COPSE-2,2nd Feb Morning,40,3,126,4.0,V43112E1,F11I02E1,
122,COPSE-2,2nd Feb Afternoon,40,2,44,4.0,Q8B043E1,HG1S1CE1,
123,COPSE-2,2nd Feb Evening,40,2,14,3.0,Q83186E1,C52303E1,
124,COPSE-2,3rd Feb Morning,40,3,21,3.5,AAA033E1,F321Q9E1,
125,COPSE-2,3rd Feb Afternoon,40,2,87,2.0,C81IAAE1,F12I01E1,
126,COPSE-2,3rd Feb Evening,40,2,39,3.5,V72119E1,F12O01E1,
127,COPSE-2,4th Feb Morning,40,3,45,2.5,V7A214E1,F12P01E1,
128,COPSE-3,23rd Jan Morning,50,3,11,2.5,R82027E1,C82BCSE1,
129,COPSE-3,23rd Jan Afternoon,50,2,59,2.5,LKB2FAE1,F12X04E1,
130,COPSE-3,23rd Jan Evening,50,2,19,3.5,V13159E1,F12X04E2,
131,COPSE-3,24th Jan Morning,50,3,23,3.0,V13296E1,F12X04E3,
132,COPSE-3,24th Jan Afternoon,50,2,42,3.0,R81022E1,F12P03E1,
133,COPSE-3,24th Jan Evening,50,2,15,3.5,V13101E1,F12X05E1,
134,COPSE-3,25th Jan Morning,50,3,24,3.5,V13103E1,J5BORME1,
135,COPSE-3,25th Jan Afternoon,50,2,15,3.0,Q83108E1,J5BSMAE1,
136,COPSE-3,25th Jan Evening,50,2,8,2.5,Q83168E1,G111MCE1,
137,COPSE-3,26th Jan Morning,50,3,31,2.75,Q83172E1,G5ABELE1,
138,COPSE-3,26th Jan Afternoon,50,2,114,2.0,Q8B074E1,F311E1E1,
139,COPSE-3,26th Jan Evening,50,2,110,3.0,Q8B341E1,F311M0E1,
140,COPSE-3,27th Jan Morning,50,3,174,3.5,V13108E1,C11105E1,
141,COPSE-3,27th Jan Afternoon,50,2,72,5.0,V13185E1,J1B117E1,
142,COPSE-3,27th Jan Evening,50,2,93,3.0,V13181E1,F11P01E1,
143,COPSE-3,28th Jan Morning,50,3,38,4.5,V83119E1,C8P001E1,
