,Room,Slot,Total Capacity,Total Hours,Used Capacity,Used Hours,Exam 1,Exam 2,Exam 3
0,TRENT-B46,24th Jan Morning,40,3,110,3.5,V6B306E1,F321M1E1,
1,TRENT-B46,24th Jan Afternoon,40,2,113,3.5,V6B307E1,F321Q2E1,
2,TRENT-B46,24th Jan Evening,40,2,113,3.5,V6B308E1,F321T2E1,
3,TRENT-B46,25th Jan Morning,40,3,141,3.5,L3B049E1,F321Z3E1,
4,TRENT-B46,26th Jan Afternoon,40,2,119,5.0,Q81001E1,C13569E1,
5,TRENT-B46,31st Jan Evening,40,2,89,3.75,M1B373E1,G51DSDE1,
6,TRENT-B46,1st Feb Morning,40,3,118,3.0,LK10IAE1,G51MC1E1,
7,TRENT-B46,1st Feb Evening,40,2,124,4.0,R13101E1,F12I02E1,
8,TRENT-B46,2nd Feb Morning,40,3,118,4.0,R43146E1,F12O02E1,
9,TRENT-B46,2nd Feb Afternoon,40,2,153,3.5,AAA024E1,F12P02E1,
10,COPSE-2,23rd Jan Afternoon,40,2,166,3.5,V12131E1,C11101E1,
11,COPSE-2,25th Jan Morning,40,3,121,2.0,R83054E1,B32321E1,
12,COPSE-2,25th Jan Afternoon,40,2,120,3.0,V43125E1,B32322E1,
13,COPSE-2,25th Jan Evening,40,2,127,3.0,V43143E1,B32325E1,
14,COPSE-2,26th Jan Morning,40,3,131,3.0,LKA1SAE1,B32326E1,
15,COPSE-2,26th Jan Afternoon,40,2,138,3.5,R22110E1,B32327E1,
16,COPSE-2,27th Jan Afternoon,40,2,196,3.0,Q8B056E1,G12AL1E1,
17,COPSE-2,27th Jan Evening,40,2,131,4.0,V42112E1,G12AN1E1,
18,COPSE-2,28th Jan Morning,40,3,136,4.0,V42124E1,G12ME1E1,
19,COPSE-2,30th Jan Morning,40,3,83,3.0,V42133E1,G5P002E1,
20,COPSE-2,1st Feb Morning,40,3,135,4.0,L3B026E1,G12MM1E1,
21,COPSE-2,1st Feb Afternoon,40,2,82,3.0,V12127E1,F12X02E1,
22,COPSE-2,2nd Feb Morning,40,3,126,4.0,V43112E1,F11I02E1,
23,COPSE-2,3rd Feb Afternoon,40,2,87,2.0,C81IAAE1,F12I01E1,
24,COPSE-3,26th Jan Afternoon,50,2,114,2.0,Q8B074E1,F311E1E1,
25,COPSE-3,26th Jan Evening,50,2,110,3.0,Q8B341E1,F311M0E1,
26,COPSE-3,27th Jan Morning,50,3,174,3.5,V13108E1,C11105E1,
27,COPSE-3,30th Jan Morning,50,3,244,5.0,G111GBE1,C8P002E1,
28,COPSE-3,30th Jan Evening,50,2,124,3.5,Q3B201E1,B31101E1,
29,COPSE-3,31st Jan Morning,50,3,158,5.0,LKC3FAE1,B31103E1,
30,COPSE-3,31st Jan Afternoon,50,2,216,3.0,R11003E1,B31105E1,
31,COPSE-3,31st Jan Evening,50,2,130,4.0,M1B359E1,B31107E1,
32,COPSE-3,3rd Feb Afternoon,50,2,140,3.0,LK10GAE1,HGCEMME1,
33,COPSE-3,3rd Feb Evening,50,2,189,3.5,R12001E1,H6C162E1,
34,COPSE-4,23rd Jan Morning,35,3,113,4.0,R12025E1,H63122E1,
35,COPSE-4,23rd Jan Afternoon,35,2,244,3.0,R11004E1,H3BMDYE1,
36,COPSE-4,23rd Jan Evening,35,2,146,3.5,M1B357E1,H3BMS2E1,
37,COPSE-4,24th Jan Morning,35,3,377,4.0,M1B363E1,HGBEM3E1,
38,COPSE-4,25th Jan Morning,35,3,161,4.0,LKA1FAE1,J1C106E1,
39,COPSE-4,26th Jan Evening,35,2,113,3.0,R82022E1,H2CT01E1,
40,COPSE-4,31st Jan Morning,35,3,109,3.5,V13152E1,H53171E1,
41,COPSE-4,31st Jan Afternoon,35,2,110,2.5,R22101E1,H6C152E1,
42,COPSE-4,1st Feb Evening,35,2,83,3.0,Q83170E1,H2CM04E1,
43,COPSE-4,2nd Feb Morning,35,3,123,4.0,Q8A310E1,H2CP01E1,
44,COPSE-4,2nd Feb Afternoon,35,2,108,3.0,LK10JAE1,H2CS06E1,
45,COPSE-4,2nd Feb Evening,35,2,91,3.5,V6B310E1,H52110E1,
46,COPSE-4,3rd Feb Morning,35,3,95,4.0,G11AS1E1,H5C112E1,
47,COPSE-4,3rd Feb Evening,35,2,121,4.0,M1B355E1,H2CH05E1,
48,COPSE-5,23rd Jan Morning,30,3,136,3.0,V41142E1,H51200E1,
49,COPSE-5,24th Jan Morning,30,3,73,3.5,V82113E1,H7CAMFE1,
50,COPSE-5,24th Jan Afternoon,30,2,67,3.5,V82115E1,H7CSURE1,
51,COPSE-5,24th Jan Evening,30,2,85,4.0,L83115E1,H3CNUEE1,
52,COPSE-5,25th Jan Evening,30,2,174,3.5,V6A100E1,H33CONE1,
53,COPSE-5,26th Jan Morning,30,3,90,4.0,V42117E1,H33MI2E1,
54,COPSE-5,26th Jan Afternoon,30,2,73,4.5,W31A12E1,H3CDMSE1,
55,COPSE-5,26th Jan Evening,30,2,84,4.0,L83112E1,H3CENIE1,
56,COPSE-5,27th Jan Evening,30,2,100,3.5,N1A110E1,H2CH04E1,
57,COPSE-5,30th Jan Morning,30,3,67,3.5,V7A204E1,HGCEMAE1,
58,COPSE-5,30th Jan Afternoon,30,2,107,3.5,V82110E1,H5C113E1,
59,COPSE-5,31st Jan Morning,30,3,170,3.0,F311A1E1,H3BDM3E1,
60,COPSE-5,31st Jan Afternoon,30,2,102,2.0,F311X1E1,H3BFM2E1,
61,COPSE-5,31st Jan Evening,30,2,90,2.0,F311X2E1,H3BFM2E2,
62,COPSE-5,1st Feb Morning,30,3,75,3.0,F311X4E1,HG3J5GE1,
63,COPSE-5,1st Feb Afternoon,30,2,75,3.5,V7A101E1,H3CMECE1,
64,COPSE-5,1st Feb Evening,30,2,77,3.5,V7A211E1,H7BMACE1,
65,COPSE-5,2nd Feb Morning,30,3,74,5.0,Q4A219E1,H83024E1,
66,COPSE-5,2nd Feb Afternoon,30,2,123,4.0,R12005E1,H62131E1,
67,COPSE-5,2nd Feb Evening,30,2,114,4.0,R12026E1,H62160E1,
68,COPSE-5,3rd Feb Afternoon,30,2,163,4.0,C82CUAE1,H8B040E1,
69,COPSE-5,3rd Feb Evening,30,2,113,3.0,C81ICAE1,H8B045E1,
70,COPSE-5,4th Feb Morning,30,3,136,3.5,V7A107E1,H8C039E1,
71,COPSE-6,24th Jan Afternoon,25,2,80,4.0,M11351E1,H3CFRCE1,
72,COPSE-6,24th Jan Evening,25,2,73,2.5,R4A101E1,LKB2JAE1,
73,COPSE-6,25th Jan Morning,25,3,92,3.5,V12119E1,H22M02E1,
74,COPSE-6,25th Jan Afternoon,25,2,111,3.5,V12143E1,H22S02E1,
75,COPSE-6,25th Jan Evening,25,2,89,3.5,R22112E1,H22V02E1,
76,COPSE-6,26th Jan Morning,25,3,60,3.0,R22102E1,J52EMME1,
77,COPSE-6,26th Jan Afternoon,25,2,76,3.5,R4A117E1,J5BSTME1,
78,COPSE-6,26th Jan Evening,25,2,75,3.5,R4A215E1,J1B111E1,
79,COPSE-6,27th Jan Afternoon,25,2,107,3.5,R21101E1,J1B116E1,
80,COPSE-6,31st Jan Evening,25,2,77,4.0,L3B021E1,J1B109E1,
81,COPSE-6,1st Feb Morning,25,3,71,3.5,V12148E1,J1B113E1,
82,COPSE-6,1st Feb Afternoon,25,2,81,3.5,R4A210E1,H82029E1,
83,COPSE-6,1st Feb Evening,25,2,83,3.5,R42217E1,H82046E1,
84,COPSE-6,2nd Feb Morning,25,3,153,4.0,L31004E1,H72NNSE1,
85,COPSE-6,2nd Feb Afternoon,25,2,154,3.5,L31097E1,H7ACS1E1,
86,COPSE-6,3rd Feb Morning,25,3,121,3.5,V41133E1,H3AFM1E1,
87,COPSE-6,3rd Feb Afternoon,25,2,70,3.0,V41143E1,H71EMPE1,
88,COPSE-6,3rd Feb Evening,25,2,107,3.5,V7A109E1,H82006E1,
89,COPSE-6,4th Feb Morning,25,3,91,3.5,V7A216E1,H82024E1,
90,POPE-A13,31st Jan Morning,80,3,191,1.0,R11001E1,,
91,POPE-A14,30th Jan Morning,80,3,187,1.5,M3A010E1,,
92,POPE-A14,3rd Feb Evening,80,2,165,2.0,G111VAE1,,
93,ART-SEMINAR,24th Jan Evening,15,2,76,2.0,M3B066E1,,
94,ART-SEMINAR,25th Jan Afternoon,15,2,42,1.5,K4C110E1,,
95,ART-SEMINAR,25th Jan Evening,15,2,42,1.5,K4C120E1,,
96,ART-SEMINAR,26th Jan Morning,15,3,125,1.5,N13304E1,,
97,ART-SEMINAR,26th Jan Afternoon,15,2,42,2.0,L13503E1,,
98,ART-SEMINAR,26th Jan Evening,15,2,52,1.5,L13508E1,,
99,ART-SEMINAR,28th Jan Morning,15,3,48,2.0,M33074E1,,
100,ART-SEMINAR,30th Jan Afternoon,15,2,58,2.0,M3B031E1,,
101,ART-SEMINAR,30th Jan Evening,15,2,51,2.0,M3B043E1,,
102,ART-SEMINAR,31st Jan Evening,15,2,67,1.5,N13303E1,,
103,ART-SEMINAR,1st Feb Morning,15,3,31,2.0,N1B409E1,,
104,ART-SEMINAR,1st Feb Afternoon,15,2,48,1.5,N1B406E1,,
105,ART-SEMINAR,1st Feb Evening,15,2,82,3.0,L83160E1,,
106,ART-SEMINAR,2nd Feb Morning,15,3,48,2.0,K1BBS1E1,,
107,ART-SEMINAR,2nd Feb Afternoon,15,2,48,2.0,K1BCSTE1,,
108,ART-SEMINAR,3rd Feb Morning,15,3,32,3.0,LK44FAE1,,
109,ART-SEMINAR,4th Feb Morning,15,3,542,2.0,HGAEM2E1,,
110,TRENT-HALL,23rd Jan Afternoon,125,2,105,3.0,R13006E1,B33548E1,
111,TRENT-HALL,23rd Jan Evening,125,2,112,4.0,R13016E1,B33549E1,
112,TRENT-HALL,24th Jan Afternoon,125,2,38,3.5,R13022E1,G13AS5E1,
113,TRENT-HALL,24th Jan Evening,125,2,47,4.0,R23102E1,G13MM2E1,
114,TRENT-HALL,25th Jan Morning,125,3,51,3.5,R23107E1,G13ST6E1,
115,TRENT-HALL,25th Jan Afternoon,125,2,33,3.5,R23111E1,C8CXESE1,
116,TRENT-HALL,25th Jan Evening,125,2,32,3.5,R23117E1,B13103E1,
117,TRENT-HALL,26th Jan Afternoon,125,2,29,4.5,Q4B102E1,C13572E1,
118,TRENT-HALL,26th Jan Evening,125,2,61,4.0,AA3008E1,F13I01E1,
119,TRENT-HALL,27th Jan Morning,125,3,44,4.0,V73232E1,F13I03E1,
120,TRENT-HALL,27th Jan Afternoon,125,2,44,2.5,V73MD1E1,F13O03E1,
121,TRENT-HALL,27th Jan Evening,125,2,70,4.0,Q3A308E1,F13P03E1,
