MATHS1017_1 - Mathematics 1,1.5
ECON1001_1 - Economics 1A,2
STATS1002_1 - Statistics 1Y,2
LAW5015_1 - Corporate Governance,2
LAW5197_1 - Corporate Finance,2
LAW5042_1 - International Financial Reg,2
COMPSCI1016_1 - Computing Science _ 1CT,2
ASTRO1003_1 - Exploring the Cosmos 1X,2
ECON5012_1 - Financial Services,2
MGT5182_1 - Intl Strategic Mgmt,2
ENG4179_1 - Thermal Engineering 4,2
ENG5096_1 - Advanced Manufacture,2
ENG5053_1 - Mech of Solids & Structures,2
MGT5263_1 - Entrepreneurial Fin for SMEs,1.5
COMPSCI5100_1 - Machine Learning & AI for DS,1.5
ENG5062_1 - Navigation Systems M,2
ENG5022_1 - Control M,2
ENG5292_1 - Power Electronics and Drives M,2
MED4042_1 - Immunology (intercal),1
MED4039_1 - Core Course (intercal),2
DENT3021_1 - Dental Stats (intercal),2
CHEM1001_1 - Chemistry 1,2
BIOL1001_1 - Biology 1A,1.5
ENG5302_1 - Ultrasound Technology and Apps,1.5
ENG5049_1 - Lasers,2
LAW5014_1 - Internat Capital Markets Law,2
ECON5002_1 - Basic Econometrics,2
"ECON5009_1 - Fin Markets, Sec/Derivatives",1.5
BUS5002_1 - Financial Information&Analysis,1
COMPSCI5076_1 - Database Theory and App (M),1.5
COMPSCI4043_1 - Systems And Networks,2
COMPSCI4039_1 - Programming,2
COMPSCI5077_1 - Enterprise Cyber Security (M),2
ENG5319_1 - Ultrasonic Eng Tech and App,1.5
MED2006_1 - MBChB 2 Written Paper 1,1
ACCFIN1004_1 - Financial Accounting 1,1.5
MGT1005_1 - Introduction to Management,1
ACCFIN1007_1 - Mgmt Acc:Bus Decision Emphasis,1.5
POLITIC2001_1 - Politics 2A: Hist of Pol Thght,2
SOCIO2020_1 - Sociology 2A,1.5
MATHS2001_1 - Maths 2A,1.5
MATHS2004_1 - Maths 2B,1.5
GREEK1001_1 - Greek 1A,2
MED5029_1 - Introduction to Statistical,2
ENG3059_1 - Aircraft Performance 3,2
ENG3042_1 - Propulsion and Turbomach 3,2
ENG3081_1 - Aircraft Structures and Mat 3,2
ENG3039_1 - Dynamics 3,2
ENG3036_1 - Simulation of Eng Systems 3,1.5
BIOL2040_1 - Cntemprary Issues in Biol 2Y,2
BIOL2039_1 - Fundamental Topics in Biol 2X,2
MED1005_1 - MBChB 1 Written Paper 1,1
ECON1012_1 - Introductory Maths for Econ,2
ECON2001_1 - Economics 2A,1.5
CEES2010_1 - CEES 2A,1.5
PSYCH5033_1 - Social Psychology (PGT Conv),1.5
EDUC5842_1 - DevPsych(PGT Conv),1
ENG4195_1 - Control Sys Analysis & Des 4,1.5
ENG4191_1 - Signal Proc of Biosignatures 4,1.5
ENG1063_1 - Engineering Mathematics 1 Pr1,2
ENG1002_1 - Aerospace Engineering 1,2
ENG1065_1 - Statics 1,2
ENG1033_1 - Materials 1,2
ENG1003_1 - Analogue Electronics 1,2
ENG1061_1 - Civil Engineering 1,1
PHIL1010_1 - Philosophy 1A,1.5
PSYCH1001_1 - Psychology 1A,2
INFOST1001_1 - Digital Media & Info Studs 1A,1.5
PSYCH5067_1 - Human Development PGT Conv,1.5
COMPSCI4014_1 - Interactive Systems (H),1.5
COMPSCI4009_1 - Algorithmics I (H),1.5
CHEM1002_1 - Science Fundamentals 1X,2
ENG2086_1 - Engineering Mathematics 2,2
ENG2081_1 - Mechanics of Structures 2A,2
ENG2085_1 - Fluid Mechanics 2,1.5
